Distance (km),Fuel Type,Duration (min),Base Fare (₹),Traffic Conditions,Weather,Time of Day,Day,Demand/Supply Ratio,Surge Multiplier,Traffic/Delay (min),Driver Availability,Fuel Price (₹/km),Final Price (₹)
20,EV,32,50,Heavy,Rainy,Peak,Sun,1.1317301293158426,1.079684464745771,5,Medium,1.0,163.73613281354307
29,Petrol,13,50,Moderate,Rainy,Peak,Thu,1.6509751255487795,1.4326083878929319,4,High,4.5,488.413967897668
24,CNG,48,50,Light,Rainy,Peak,Sun,2.3415116137341125,1.5404078046434413,15,High,2.8,768.9874053827197
18,CNG,35,50,Light,Rainy,Off-peak,Thu,2.226753907260979,1.8248001807502043,8,High,2.8,692.4001108905125
10,EV,49,50,Moderate,Rainy,Peak,Sun,2.295231673652756,1.9071446259408982,3,Low,1.0,691.6195227679975
41,Diesel,20,50,Moderate,Clear,Peak,Sun,2.1187280076771646,1.3997607271102492,11,High,3.2,656.0155511543984
8,CNG,35,50,Heavy,Snowy,Peak,Tue,1.3514312864139468,1.843452324946698,13,High,2.8,354.7609985250388
26,Diesel,33,50,Moderate,Stormy,Peak,Sun,2.3486629491875473,1.5436843802267592,1,Medium,3.2,722.2183863683638
29,Petrol,17,50,Heavy,Clear,Off-peak,Tue,2.901894206241538,1.9726557400074087,3,High,4.5,1227.8920073784534
10,CNG,27,50,Light,Stormy,Off-peak,Sun,1.0821927693679316,1.9291899746504042,15,Medium,2.8,275.58371825209775
17,CNG,18,50,Heavy,Clear,Peak,Tue,1.723667732560796,1.7131445685452948,2,High,2.8,394.5063730721784
2,Petrol,43,50,Moderate,Clear,Off-peak,Sun,1.583170991449203,1.189221715932996,14,High,4.5,272.99749184465173
6,CNG,6,50,Heavy,Stormy,Off-peak,Sat,1.2962413061264328,1.9246298684040488,12,Low,2.8,196.58903707308468
5,EV,16,50,Heavy,Snowy,Peak,Mon,1.5288285737622813,1.1167835888259368,15,Low,1.0,148.54124753361148
28,EV,32,50,Moderate,Clear,Off-peak,Thu,1.0508735725281266,1.8183564584503453,13,Medium,1.0,271.3425101622255
41,Petrol,36,50,Heavy,Stormy,Off-peak,Fri,2.285521812188467,1.4942838838854366,7,Medium,4.5,1046.7644427330013
5,Diesel,60,50,Light,Snowy,Peak,Sat,2.2248823480499897,1.6114790533052976,15,Medium,3.2,666.8753417909354
18,Diesel,53,50,Heavy,Rainy,Off-peak,Sun,2.0068774136375347,1.8712909608618868,12,High,3.2,802.1644540058502
26,CNG,28,50,Moderate,Rainy,Peak,Fri,1.6280585520907762,1.793013363698202,1,Low,2.8,521.940576451805
20,Diesel,41,50,Moderate,Stormy,Off-peak,Fri,2.9523994458336755,1.05845513934913,8,Low,3.2,612.4965439034187
41,Diesel,33,50,Moderate,Clear,Off-peak,Tue,2.238406677709278,1.3700182154784413,3,High,3.2,758.0778383456641
49,Petrol,56,50,Heavy,Rainy,Peak,Tue,2.7747480276598857,1.9704587128923927,5,Low,4.5,2091.328858397652
27,Diesel,46,50,Light,Rainy,Off-peak,Sat,1.6121612680376494,1.3559361079003585,14,Medium,3.2,499.27958499071065
49,Diesel,22,50,Moderate,Stormy,Peak,Sat,2.5104362437359242,1.805493513827721,10,Low,3.2,1136.7701498197644
12,Diesel,7,50,Moderate,Stormy,Off-peak,Tue,1.011821640993909,1.7284823388561368,15,High,3.2,179.08898166071359
7,EV,17,50,Light,Rainy,Peak,Mon,2.3536903441087658,1.9560672827064045,10,Low,1.0,418.9618774917153
3,EV,17,50,Moderate,Clear,Off-peak,Sat,2.4963397824237,1.9498245199416662,14,Medium,1.0,423.46593305517496
10,Petrol,46,50,Heavy,Stormy,Peak,Sun,1.539823427513176,1.4573219014974308,15,High,4.5,419.63144180115927
34,CNG,33,50,Moderate,Stormy,Peak,Sat,2.996237940719481,1.2278781338385714,13,Low,2.8,777.0079788106859
25,Petrol,6,50,Moderate,Clear,Off-peak,Thu,1.9965257368430904,1.3011167699737065,7,Low,4.5,453.30093907191946
35,CNG,32,50,Heavy,Snowy,Off-peak,Sun,1.7387698405771732,1.2946208211395622,7,High,2.8,477.2220994215139
16,CNG,52,50,Light,Stormy,Off-peak,Fri,1.369964545199355,1.629906324910853,4,Medium,2.8,443.90327877226093
2,Diesel,8,50,Light,Rainy,Peak,Thu,1.3108823348579188,1.366976790741675,7,High,3.2,129.7368706452279
24,Diesel,55,50,Moderate,Clear,Peak,Fri,1.4132795199774704,1.8681264914885003,12,Low,3.2,625.1957869598615
10,Petrol,9,50,Heavy,Rainy,Off-peak,Thu,2.072291656974099,1.3017500307716374,11,High,4.5,304.829447290424
38,Petrol,43,50,Heavy,Clear,Peak,Tue,2.073112754434592,1.9901204194706381,13,Medium,4.5,1266.6034155108473
22,Petrol,45,50,Light,Snowy,Off-peak,Mon,2.060976107348489,1.6626419441391413,14,High,4.5,818.9730119451445
26,EV,9,50,Light,Stormy,Peak,Fri,2.7190334806450434,1.3557496753299976,9,Low,1.0,346.5149033080156
43,EV,12,50,Light,Snowy,Peak,Wed,1.0030935479040473,1.5859625702150217,6,High,1.0,186.13165210380092
39,EV,38,50,Heavy,Stormy,Off-peak,Fri,1.53385858498731,1.3616545306387926,12,Medium,1.0,344.6166061151844
27,EV,58,50,Heavy,Clear,Off-peak,Sat,2.771301142763289,1.5152864807625472,2,Low,1.0,810.4678250599449
29,EV,60,50,Heavy,Rainy,Peak,Mon,1.1998671110798431,1.52591475537993,9,Medium,1.0,364.34809092907255
47,Diesel,29,50,Moderate,Snowy,Peak,Thu,1.3894890602497012,1.7652825758886523,6,Medium,3.2,633.814069812226
38,CNG,31,50,Moderate,Clear,Peak,Fri,1.6534756657067982,1.4467956940549027,9,Low,2.8,522.4655377838243
20,EV,56,50,Light,Snowy,Peak,Sun,2.6252945743378655,1.9486496846164325,1,Low,1.0,931.0718588641859
27,Petrol,56,50,Light,Clear,Peak,Sun,2.167700609591895,1.0984450151665304,10,High,4.5,675.0418298657354
41,CNG,11,50,Moderate,Snowy,Peak,Thu,2.1113335336451144,1.320988874400319,11,High,2.8,520.9941865918673
20,EV,40,50,Moderate,Clear,Off-peak,Tue,2.850056146698447,1.7469927180191513,13,Medium,1.0,746.8541001341864
44,EV,36,50,Moderate,Snowy,Off-peak,Mon,1.9746605907958954,1.5962835468461805,9,Low,1.0,523.2516231410457
19,Diesel,25,50,Moderate,Snowy,Peak,Mon,2.894020391196597,1.1239791427549055,4,Medium,3.2,523.0532241927087
20,Diesel,51,50,Light,Clear,Off-peak,Sun,1.2682726074885313,1.8137704537657289,12,Medium,3.2,496.8767626811534
35,Diesel,22,50,Moderate,Snowy,Peak,Fri,1.7995315862533348,1.6640992297345152,10,High,3.2,616.8874200728236
47,EV,6,50,Moderate,Clear,Peak,Thu,2.6445839119253582,1.5839561558460757,3,Medium,1.0,456.5906413970778
2,Diesel,50,50,Heavy,Snowy,Peak,Wed,1.3006548000695959,1.8760979835488278,7,Medium,3.2,381.64037458085437
30,EV,46,50,Light,Stormy,Peak,Thu,1.3511389727608427,1.834314675295977,13,Medium,1.0,426.2872159291217
34,CNG,9,50,Light,Stormy,Off-peak,Thu,1.7634785491052776,1.3160881173778547,5,Medium,2.8,378.7697643204414
22,CNG,48,50,Heavy,Snowy,Off-peak,Sat,2.857330831827889,1.544801654313531,8,Low,2.8,916.3483505948149
3,EV,46,50,Light,Clear,Peak,Sun,1.3638906446251278,1.8592646591202517,3,High,1.0,367.6958827961546
6,Petrol,54,50,Light,Stormy,Off-peak,Thu,2.9112488809506485,1.0647900849678575,4,Medium,4.5,573.4757545123539
15,EV,42,50,Moderate,Snowy,Peak,Thu,2.3439674285895036,1.3285727897755915,12,Medium,1.0,464.00557051589715
27,CNG,32,50,Moderate,Snowy,Peak,Thu,1.9424809272911299,1.3885798363199882,10,Medium,2.8,511.40615519456793
10,CNG,35,50,Light,Clear,Off-peak,Sat,1.0353163993382415,1.2723401382142314,1,High,2.8,194.95664237316282
9,EV,58,50,Heavy,Rainy,Peak,Fri,2.0494346681276863,1.508406906889034,11,High,1.0,540.9917465087865
33,EV,48,50,Heavy,Clear,Peak,Fri,1.8313410955954028,1.7961959602800306,5,Medium,1.0,588.811098526785
32,EV,28,50,Light,Rainy,Peak,Wed,2.5816281367948952,1.479583227075304,14,Low,1.0,527.1232491851406
48,CNG,37,50,Light,Snowy,Off-peak,Sat,2.118464905385278,1.042679703693243,4,High,2.8,570.7746849804998
6,Petrol,43,50,Light,Rainy,Peak,Sun,2.9475072197548657,1.853841748073117,3,Low,4.5,890.6665456867445
41,EV,16,50,Light,Rainy,Off-peak,Mon,1.2238346962019726,1.2050552704595896,0,Medium,1.0,181.39897945202821
36,CNG,43,50,Moderate,Clear,Off-peak,Sun,2.8299303383277823,1.4314620861361282,4,Medium,2.8,959.2621150191131
2,EV,13,50,Moderate,Rainy,Peak,Mon,1.7591349157839784,1.020588398106221,12,Medium,1.0,140.03750948871001
29,CNG,56,50,Light,Rainy,Off-peak,Wed,2.0148034681400877,1.4395010270796877,3,Low,2.8,705.3557961379339
4,EV,19,50,Heavy,Snowy,Peak,Sat,2.706412430688208,1.374684698922647,2,Medium,1.0,342.2826656845839
1,CNG,27,50,Moderate,Stormy,Peak,Sat,2.3696590817210548,1.2891238045450977,8,Low,2.8,326.2509238204499
19,EV,48,50,Light,Clear,Off-peak,Thu,2.892332115760743,1.9372644713511966,6,Low,1.0,924.5300207898683
26,Diesel,49,50,Heavy,Clear,Off-peak,Tue,2.969331380438039,1.678287308129986,4,Medium,3.2,1152.1600383701932
25,EV,26,50,Moderate,Stormy,Off-peak,Sun,2.283086143754751,1.9154537980207893,12,High,1.0,555.3895452084869
10,CNG,40,50,Moderate,Stormy,Off-peak,Fri,2.1195660245419443,1.4666562754695387,4,High,2.8,491.17062016430145
15,EV,14,50,Light,Stormy,Peak,Wed,1.5059611724619313,1.5161113904199932,12,Low,1.0,212.3380545002797
22,Petrol,32,50,Heavy,Rainy,Off-peak,Mon,1.5509451871716418,1.948857969188115,9,High,4.5,643.8078120999955
48,EV,60,50,Light,Snowy,Peak,Thu,1.5075060065026853,1.4577630151898857,8,Low,1.0,479.0738573174556
21,EV,39,50,Moderate,Clear,Off-peak,Thu,2.5695922482256455,1.0310948159659896,8,High,1.0,394.77449369748643
22,EV,60,50,Heavy,Snowy,Peak,Sat,2.2309383938788927,1.6451702271367803,9,Low,1.0,704.6924974436931
36,Petrol,33,50,Moderate,Rainy,Peak,Thu,2.4715231015914556,1.1979556352506777,0,High,4.5,823.0954575626334
34,Petrol,9,50,Light,Stormy,Peak,Tue,2.632478599742562,1.9533845324606136,11,Medium,4.5,1136.4356983083237
30,Petrol,8,50,Light,Rainy,Off-peak,Wed,2.7867080675513787,1.0693825511709547,9,Low,4.5,598.9914535120016
25,Diesel,55,50,Moderate,Stormy,Peak,Fri,1.2939051909510717,1.8975494439407417,15,Low,3.2,589.2597781442988
45,Petrol,19,50,Light,Clear,Off-peak,Fri,2.750149082882797,1.1450326550553056,1,High,4.5,914.7875520427344
28,Diesel,34,50,Light,Rainy,Off-peak,Fri,2.291498266197774,1.2579614192049382,9,Medium,3.2,598.4311669343551
1,EV,30,50,Moderate,Snowy,Off-peak,Sun,2.83599593173978,1.1520389677878102,4,Low,1.0,362.6567386695637
49,Diesel,27,50,Heavy,Snowy,Off-peak,Thu,2.8574418722061443,1.3331948063861507,14,High,3.2,993.5245538605036
45,EV,43,50,Moderate,Rainy,Off-peak,Mon,1.8532750642616231,1.106698599604779,7,Medium,1.0,371.2340622124439
4,Diesel,33,50,Moderate,Rainy,Off-peak,Thu,2.4283671290073148,1.3743615452274125,8,Medium,3.2,429.864126694491
7,Petrol,26,50,Heavy,Snowy,Peak,Thu,2.6518711414217853,1.3101803800362124,15,Low,4.5,463.8363435733204
49,Petrol,39,50,Light,Rainy,Peak,Sun,1.5149780738031335,1.7419413746210104,14,High,4.5,919.6925414578603
9,Diesel,52,50,Heavy,Rainy,Peak,Sat,1.972060377643718,1.6112508950672964,3,Low,3.2,580.844084085029
36,Diesel,51,50,Moderate,Rainy,Peak,Sat,1.5185276938671974,1.68342436239642,1,Low,3.2,683.050444762494
19,Petrol,22,50,Heavy,Stormy,Off-peak,Tue,1.176965454377361,1.4906273663332423,6,Medium,4.5,314.9178363365102
1,EV,39,50,Light,Snowy,Peak,Thu,2.3959301786459677,1.8530557789389044,2,High,1.0,572.7332019881501
10,EV,50,50,Heavy,Rainy,Peak,Thu,2.144543588037632,1.3537154619416265,7,High,1.0,464.4962902294906
36,EV,37,50,Heavy,Snowy,Off-peak,Tue,1.7999337346477808,1.4023485506550228,5,Low,1.0,403.8615142493437
9,EV,11,50,Moderate,Clear,Off-peak,Thu,1.4251211269429696,1.0966551874533437,11,Medium,1.0,126.59218460552037
45,CNG,38,50,Heavy,Rainy,Peak,Wed,1.3789478609639245,1.9990458593646858,2,Medium,2.8,694.6581629584105
46,EV,14,50,Moderate,Stormy,Off-peak,Wed,1.5589391741928547,1.4521372134617656,9,High,1.0,280.71040495773093
42,CNG,28,50,Light,Stormy,Off-peak,Wed,2.9642968174513653,1.9156671676969808,2,Low,2.8,1269.7363213886517
32,CNG,29,50,Heavy,Rainy,Off-peak,Tue,2.925147114239311,1.8526827059990552,7,Low,2.8,1070.8674074803127
32,Petrol,52,50,Heavy,Rainy,Peak,Sat,2.6895868640180893,1.2593472373833436,5,Medium,4.5,1009.362888497306
6,Petrol,48,50,Moderate,Clear,Off-peak,Fri,1.1367793289350718,1.5012921878476009,9,Low,4.5,295.24836116977707
48,Diesel,31,50,Moderate,Rainy,Peak,Wed,2.6637156883404742,1.5881545019724903,12,Medium,3.2,1123.5921317768066
38,EV,54,50,Light,Snowy,Off-peak,Mon,2.511272885004316,1.8449898381475283,7,Low,1.0,908.1214989150843
17,EV,10,50,Moderate,Rainy,Off-peak,Sat,2.8772222090351676,1.0973962217866442,3,Medium,1.0,274.69839198491593
10,Petrol,53,50,Moderate,Snowy,Peak,Mon,1.9337168871792338,1.8282344418934589,1,Medium,4.5,710.5928506164287
50,Petrol,12,50,Light,Snowy,Peak,Thu,2.0298115731731095,1.11200540053508,15,High,4.5,674.8912679996942
27,Petrol,25,50,Moderate,Snowy,Peak,Sat,2.1354159779871322,1.4488454561229511,3,High,4.5,685.2961336655395
50,Diesel,45,50,Moderate,Snowy,Off-peak,Fri,2.0919276042687738,1.8621622161041724,0,Medium,3.2,1168.6525630483895
35,EV,23,50,Moderate,Snowy,Peak,Thu,1.6274848614185549,1.2336447238655461,1,High,1.0,263.01369273226646
21,Diesel,38,50,Moderate,Rainy,Peak,Sun,1.3228225132169862,1.0462101906582402,15,High,3.2,267.3792160743848
25,CNG,43,50,Light,Rainy,Off-peak,Sat,2.423547175554132,1.0477811255806433,5,Medium,2.8,523.1054794249787
28,CNG,47,50,Light,Rainy,Off-peak,Wed,2.8251140702319986,1.1888563377272963,7,Low,2.8,746.9648202248061
47,EV,27,50,Moderate,Stormy,Peak,Sun,2.332768920520651,1.5410162164650436,7,Low,1.0,542.8200451039846
15,Petrol,17,50,Heavy,Snowy,Peak,Mon,2.658254464294018,1.8928741739748163,4,High,4.5,762.308795332284
4,Petrol,46,50,Light,Clear,Peak,Tue,2.0425568184216836,1.7089432520155634,4,Low,4.5,558.4981906720184
29,Diesel,51,50,Heavy,Rainy,Peak,Fri,2.0102769946069294,1.8049400113683394,6,Medium,3.2,888.2395125910391
9,CNG,57,50,Moderate,Rainy,Peak,Thu,2.9709453554483605,1.2466086434463308,4,Medium,2.8,700.722285341198
27,CNG,43,50,Moderate,Stormy,Off-peak,Sun,2.9890901493795483,1.3824898773141474,0,Low,2.8,874.4130625165329
26,EV,32,50,Light,Rainy,Peak,Sat,2.217460774296012,1.5243558282775704,9,High,1.0,473.22789573850287
19,CNG,10,50,Heavy,Snowy,Peak,Mon,1.741756555944532,1.3676349152122103,10,High,2.8,293.4731282202118
28,Petrol,16,50,Light,Rainy,Off-peak,Wed,1.7448670469212617,1.752314813743961,7,Medium,4.5,635.9717258614317
17,Petrol,7,50,Light,Snowy,Peak,Wed,2.3437339461032582,1.9703677771511738,15,Low,4.5,648.8315073092202
43,Petrol,52,50,Light,Rainy,Off-peak,Fri,1.448742369506129,1.769149938636852,13,High,4.5,890.6572597540506
41,EV,24,50,Moderate,Rainy,Peak,Sun,2.960454662917986,1.940168468182741,7,Low,1.0,798.3855295984479
42,Diesel,45,50,Heavy,Snowy,Peak,Thu,2.4259838721690814,1.9785875597123854,2,Low,3.2,1317.1259022168501
50,CNG,46,50,Moderate,Snowy,Off-peak,Wed,1.322257169016372,1.321347419426758,11,Low,2.8,492.6994296637245
20,EV,49,50,Moderate,Rainy,Off-peak,Mon,1.7283303528135556,1.616111234828659,12,High,1.0,469.25324891379773
45,Diesel,12,50,Moderate,Snowy,Off-peak,Thu,1.4473885206960675,1.7663860212558156,4,Medium,3.2,557.3490133618394
40,EV,30,50,Light,Stormy,Off-peak,Mon,1.172141478806111,1.618993695790383,2,Medium,1.0,284.6534497142266
39,CNG,42,50,Moderate,Snowy,Peak,Wed,2.289669673120229,1.598369599559974,8,Low,2.8,890.0483785273105
49,Petrol,32,50,Moderate,Snowy,Peak,Mon,1.2088164738271576,1.368301473727962,7,High,4.5,553.2714837911511
23,Diesel,39,50,Moderate,Clear,Off-peak,Wed,1.7923336119722233,1.530148568477788,15,High,3.2,552.8954008557345
47,Diesel,48,50,Moderate,Snowy,Peak,Tue,2.339030234632857,1.3407362773265903,9,Medium,3.2,929.5171251191897
32,EV,45,50,Moderate,Snowy,Off-peak,Thu,1.322477442547237,1.2257615469242922,13,High,1.0,278.81922326885945
47,EV,45,50,Moderate,Clear,Peak,Sun,2.7682955060788483,1.3800777268767535,10,Low,1.0,714.4265752689042
33,Petrol,47,50,Heavy,Snowy,Peak,Mon,1.3698642138757866,1.3993790388704697,3,High,4.5,560.7105855964908
46,EV,42,50,Light,Clear,Off-peak,Thu,2.2212552952219724,1.144290446246683,15,High,1.0,457.51701833952444
5,CNG,6,50,Moderate,Rainy,Off-peak,Mon,2.8475790675707806,1.4885471648968864,13,High,2.8,322.14543683676754
43,CNG,11,50,Light,Rainy,Off-peak,Sun,1.190738001332528,1.636960222622722,5,Low,2.8,375.02429909685156
48,CNG,45,50,Heavy,Stormy,Off-peak,Wed,1.2099128623505588,1.1040823700223026,9,High,2.8,366.55544558437936
34,CNG,29,50,Heavy,Rainy,Off-peak,Wed,1.251390587184755,1.5311159672475156,10,High,2.8,389.3360990101304
40,Petrol,55,50,Light,Snowy,Off-peak,Tue,1.7150577315235438,1.0878618900524684,14,High,4.5,634.3536214238625
11,Petrol,54,50,Heavy,Clear,Off-peak,Mon,2.343180065941504,1.8561378200266139,7,High,4.5,902.4725164517448
50,Petrol,36,50,Moderate,Rainy,Off-peak,Tue,2.0772584883876064,1.4087502542348265,15,Medium,4.5,1015.4394329987396
3,EV,16,50,Heavy,Snowy,Off-peak,Mon,1.596371847201367,1.243141055420911,15,Low,1.0,168.68380755280162
33,Petrol,57,50,Moderate,Rainy,Peak,Tue,2.236124880413251,1.3774551802232748,10,High,4.5,962.5505625473074
11,Diesel,15,50,Light,Stormy,Off-peak,Thu,1.8929926943642923,1.651850182399921,3,Low,3.2,360.2235257242415
16,Diesel,14,50,Light,Rainy,Off-peak,Sun,1.7052896670608655,1.47766081798946,2,High,3.2,325.56329238448666
18,Diesel,59,50,Light,Rainy,Off-peak,Sat,1.764898338505527,1.6028842229640698,10,Medium,3.2,638.2060895545077
30,EV,39,50,Light,Snowy,Peak,Wed,1.7186951763547405,1.5959742265053505,11,Medium,1.0,433.392926339635
48,EV,48,50,Light,Clear,Off-peak,Mon,2.023504338090521,1.6954270076496991,13,Medium,1.0,665.5565575496294
10,Petrol,8,50,Light,Stormy,Peak,Sun,1.7604875198023306,1.9320202930130934,3,Medium,4.5,377.5440351378376
18,CNG,46,50,Moderate,Clear,Off-peak,Fri,1.6390098898892205,1.6529003370609239,4,High,2.8,521.234687893041
38,Diesel,6,50,Light,Clear,Off-peak,Fri,1.642048231210131,1.1648873146822198,6,Medium,3.2,351.19029199062953
19,EV,48,50,Heavy,Clear,Peak,Wed,1.4379893598881677,1.4563065058286049,13,High,1.0,345.5352879193792
36,Diesel,32,50,Moderate,Stormy,Peak,Fri,1.419600615887724,1.1905559093800464,2,Low,3.2,387.3741063853134
13,Petrol,47,50,Moderate,Stormy,Peak,Fri,1.5721275250744622,1.1365552190211985,14,Medium,4.5,361.8289730770277
46,EV,50,50,Moderate,Snowy,Peak,Fri,2.944513753480976,1.744525880438918,12,Low,1.0,1006.8089678581571
3,CNG,51,50,Moderate,Snowy,Peak,Tue,1.408347027516524,1.1552692389141,11,Low,2.8,260.97400777639433
10,CNG,18,50,Light,Snowy,Off-peak,Tue,1.8891673576160242,1.7808648477448956,10,Low,2.8,383.53609821014555
38,EV,48,50,Light,Stormy,Off-peak,Mon,2.817070585628054,1.5224130369936955,2,Medium,1.0,789.129077367257
1,CNG,33,50,Light,Stormy,Peak,Sat,1.02300629333427,1.423923452497499,1,High,2.8,173.05389919198694
27,Petrol,6,50,Heavy,Rainy,Off-peak,Tue,2.2097242567043374,1.873363925168888,0,Low,4.5,759.6198492492792
46,CNG,59,50,Light,Clear,Off-peak,Thu,2.7403807388145878,1.9000643266495607,13,High,2.8,1545.4078259913201
8,Diesel,38,50,Light,Snowy,Peak,Sun,1.3351011732046008,1.2154132274394718,2,High,3.2,246.00126328383686
46,Diesel,37,50,Heavy,Rainy,Off-peak,Sun,2.6254357074520343,1.8000470250649023,3,High,3.2,1281.6661776501523
42,Diesel,24,50,Light,Stormy,Peak,Mon,2.292212604485567,1.6059410158995933,12,Low,3.2,855.501174675136
17,EV,51,50,Light,Rainy,Peak,Sun,2.642565893624236,1.4962703305609577,9,Low,1.0,668.2248073978001
9,EV,34,50,Moderate,Rainy,Peak,Fri,1.1418439523839192,1.2378374474435612,10,Medium,1.0,179.50398483151778
6,EV,58,50,Light,Stormy,Off-peak,Fri,1.1419443680027743,1.8025732494259223,4,Low,1.0,354.05139965623545
43,EV,46,50,Heavy,Clear,Off-peak,Wed,1.2859668068570311,1.8813839494459819,9,Medium,1.0,447.5885023391071
25,EV,30,50,Moderate,Stormy,Peak,Sun,2.9579365358120233,1.7298658967686886,3,High,1.0,690.7725276444901
39,Petrol,24,50,Heavy,Snowy,Off-peak,Sun,2.7587879595838363,1.2759468350409375,0,Medium,4.5,962.7382603861415
49,EV,5,50,Heavy,Rainy,Off-peak,Mon,2.1447279654198974,1.0710067034234856,13,Medium,1.0,250.37496505031308
28,CNG,5,50,Light,Snowy,Peak,Fri,2.056885529375875,1.4789876508612387,3,Medium,2.8,421.0277883300027
33,Petrol,29,50,Moderate,Rainy,Off-peak,Tue,1.5101881275820157,1.2683246654720433,3,High,4.5,491.30237046497734
37,EV,37,50,Light,Rainy,Off-peak,Fri,1.423808646843159,1.3422546455232096,0,High,1.0,307.68931706037654
9,CNG,27,50,Moderate,Snowy,Off-peak,Sun,1.4690087739810223,1.3300815839788882,8,High,2.8,252.44407599324268
18,Petrol,15,50,Moderate,Rainy,Peak,Fri,2.4601241207620816,1.2109701114849647,2,Low,4.5,479.6410217065635
21,Diesel,48,50,Moderate,Stormy,Peak,Wed,2.2680461046289286,1.9845697166152605,10,Low,3.2,959.6335851465215
2,Petrol,19,50,Heavy,Stormy,Peak,Sun,2.0035505314237736,1.8556205507131354,6,Medium,4.5,360.6294654287112
43,EV,18,50,Light,Rainy,Peak,Fri,2.6671182755996368,1.0827386172161009,0,High,1.0,372.5251620240159
38,Petrol,59,50,Moderate,Rainy,Peak,Thu,1.1185938949278469,1.8386584432939836,0,High,4.5,697.2254051293779
40,Petrol,5,50,Moderate,Stormy,Off-peak,Sun,1.0724498748989897,1.0250979846962522,10,Medium,4.5,263.8478893072085
36,Diesel,37,50,Heavy,Clear,Off-peak,Thu,2.6414124935454404,1.832504926819753,0,Medium,3.2,1157.8240168379161
50,Petrol,10,50,Moderate,Rainy,Peak,Fri,1.832639661914807,1.1947440550528796,10,High,4.5,645.9129256324163
43,Petrol,60,50,Moderate,Stormy,Off-peak,Sun,2.3310824920871345,1.4689069653182987,5,High,4.5,1244.6760929517527
37,Diesel,27,50,Light,Clear,Peak,Fri,1.808438861224751,1.3187200826525098,6,High,3.2,530.3850009471004
15,EV,58,50,Heavy,Clear,Off-peak,Thu,1.877121644389417,1.5781159577530453,11,Medium,1.0,536.1791275194782
28,CNG,30,50,Heavy,Snowy,Peak,Tue,1.045034288087722,1.4463456812722133,6,Medium,2.8,284.7629882508698
18,Petrol,7,50,Moderate,Clear,Peak,Mon,2.0608470737418427,1.0355698567737643,4,Low,4.5,309.4519108031834
34,Diesel,50,50,Moderate,Rainy,Off-peak,Sun,1.0708848988781103,1.7511614721513853,13,Medium,3.2,485.3256669150317
22,Petrol,59,50,Heavy,Clear,Peak,Thu,1.7028331548274096,1.4815945226028555,8,Low,4.5,673.6165094513876
11,EV,10,50,Moderate,Snowy,Peak,Wed,1.2734074946374956,1.209993997357932,13,Medium,1.0,124.80604940085978
13,EV,44,50,Moderate,Stormy,Off-peak,Thu,1.4356681302748735,1.5954514436973204,7,Low,1.0,345.8713574587092
4,Diesel,56,50,Heavy,Snowy,Peak,Mon,2.8149982656430295,1.1834486010128757,13,High,3.2,582.3297267306943
22,CNG,29,50,Moderate,Stormy,Off-peak,Thu,2.9386793419924997,1.5435285027912191,7,Medium,2.8,769.2946311079869
7,CNG,51,50,Light,Rainy,Peak,Sun,1.0661521129261815,1.4299079459199449,3,High,2.8,261.6040932360545
43,Petrol,21,50,Moderate,Stormy,Peak,Sat,2.828026804963229,1.5345734598054024,2,Low,4.5,1239.0171478159868
24,Diesel,32,50,Heavy,Clear,Off-peak,Mon,2.7023886820282503,1.5737266588528016,2,High,3.2,811.4382680722814
4,CNG,36,50,Light,Stormy,Peak,Tue,2.0324239023652977,1.0415268660817247,0,Medium,2.8,281.9609697976716
28,EV,33,50,Moderate,Clear,Peak,Tue,1.9673764757737706,1.6373062268574046,8,High,1.0,463.85247662743257
15,CNG,27,50,Light,Snowy,Off-peak,Fri,1.773985126239399,1.2995618931758552,12,Low,2.8,336.5889064917364
1,Diesel,45,50,Heavy,Snowy,Peak,Tue,2.3068293734204355,1.339508098897374,14,High,3.2,442.4903811970512
3,EV,20,50,Light,Stormy,Off-peak,Thu,1.3649440418189787,1.7736983518804474,3,Medium,1.0,225.15290675665238
14,Petrol,36,50,Moderate,Snowy,Off-peak,Wed,1.1484567882341161,1.1813930988704213,15,High,4.5,251.0041009345746
38,EV,30,50,Moderate,Snowy,Off-peak,Thu,2.9596223639618113,1.3382592542763043,11,Low,1.0,586.189818624781
50,CNG,37,50,Heavy,Snowy,Off-peak,Tue,2.6424057532527394,1.0680211199591363,3,Low,2.8,745.0463201215204
1,CNG,52,50,Light,Clear,Peak,Wed,1.7601196133710295,1.9657198276510313,9,Low,2.8,542.5126372128132
38,CNG,23,50,Light,Stormy,Off-peak,Tue,1.1312354556091446,1.2269865848541581,12,Low,2.8,280.93337141678546
38,Petrol,59,50,Heavy,Clear,Peak,Mon,2.914510350812891,1.8765442881591308,12,Low,4.5,1854.0614277919237
21,CNG,45,50,Heavy,Stormy,Off-peak,Thu,1.1027785682051532,1.602562880469161,6,Medium,2.8,351.3336733579625
48,Diesel,21,50,Heavy,Clear,Off-peak,Wed,1.0052632168553775,1.42972121336842,13,Low,3.2,352.98765349618657
29,Petrol,42,50,Heavy,Rainy,Off-peak,Sat,1.577307529490523,1.581077733256849,5,High,4.5,659.6222176379089
5,EV,18,50,Moderate,Rainy,Peak,Sun,2.490511126584831,1.5674820904623212,14,High,1.0,355.2486744187164
